Borough,Latitude,Longitude,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,Mean Bathrooms,County,Event Date Crimes,Event Ending Date Crimes,Event Report Date Crimes,Description Crimes,Attempt Complete Crimes,Level of Offense Crimes,Borough Crimes,Latitude Crimes,Longitude Crimes,Crimes Distance,BlockCode Census,Latitude Census,Longitude Census,County Census,Borough Census,TotalPop Census,Men Census,Women Census,Hispanic Census,White Census,Black Census,Native Census,Asian Census,Citizen Census,Income Census,IncomeErr Census,IncomePerCap Census,IncomePerCapErr Census,Poverty Census,ChildPoverty Census,Professional Census,Service Census,Office Census,Construction Census,Production Census,Drive Census,Carpool Census,Transit Census,Walk Census,OtherTransp Census,WorkAtHome Census,MeanCommute Census,Employed Census,PrivateWork Census,PublicWork Census,SelfEmployed Census,FamilyWork Census,Unemployment Census,Census Distance
BRONX,40.821314,-73.87650699999998,2,197,16,6,5,0,0,1.9911504424778759,BRONX,12/20/2015,12/30/2015,12/30/2015,GRAND LARCENY,COMPLETED,FELONY,BRONX,40.82121493,-73.87649387,0.011074823426233886,36005002800.0,40.82183417085,-73.87793969846665,BRONX,BRONX,5299.0,2292.0,3007.0,23.0,0.2,71.4,0.0,1.7,4056.0,49529.0,5441.0,26652.0,3069.0,8.5,6.5,36.6,24.4,26.6,4.9,7.4,42.8,3.7,48.2,2.0,0.6,2.7,47.3,2394.0,61.9,37.4,0.6,0.0,12.8,0.13375600644531355
BRONX,40.82084,-73.872649,3,206,12,4,1,0,0,2.0044247787610616,BRONX,12/28/2015,,12/29/2015,FRAUDS,COMPLETED,MISDEMEANOR,BRONX,40.82123554,-73.87273267,0.0445559864977193,36005004600.0,40.8214572864,-73.8684422111,BRONX,BRONX,1869.0,845.0,1024.0,59.7,3.0,36.6,0.4,0.0,1182.0,40950.0,10707.0,19260.0,4463.0,25.5,37.1,23.6,38.4,21.2,5.9,10.9,35.3,8.3,47.1,9.3,0.0,0.0,33.7,589.0,68.6,23.3,8.1,0.0,13.4,0.36069585584526126
BRONX,40.821609,-73.872835,5,205,13,0,3,0,0,1.9955752212389384,BRONX,12/28/2015,,12/29/2015,FRAUDS,COMPLETED,MISDEMEANOR,BRONX,40.82123554,-73.87273267,0.04242351067513223,36005004600.0,40.8214572864,-73.8684422111,BRONX,BRONX,1869.0,845.0,1024.0,59.7,3.0,36.6,0.4,0.0,1182.0,40950.0,10707.0,19260.0,4463.0,25.5,37.1,23.6,38.4,21.2,5.9,10.9,35.3,8.3,47.1,9.3,0.0,0.0,33.7,589.0,68.6,23.3,8.1,0.0,13.4,0.3701395933608205
MANHATTAN,40.800206,-73.952489,2,9,1,0,0,0,0,3.0,NEW YORK,9/19/2015,9/19/2015,9/19/2015,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,MANHATTAN,40.8002714,-73.95248349,0.007289210559375677,36061018600.0,40.798844221100005,-73.9507537688,NEW YORK,MANHATTAN,7310.0,3011.0,4299.0,38.7,3.4,51.1,0.1,4.6,4686.0,24769.0,11011.0,14211.0,2474.0,44.4,57.0,22.1,41.5,18.6,0.7,17.2,1.5,0.0,80.6,5.5,0.0,12.4,35.4,2407.0,81.7,12.0,6.4,0.0,8.3,0.21045407882636985
MANHATTAN,40.805446,-73.953728,1,6,3,0,0,0,1,1.7,NEW YORK,11/8/2015,11/8/2015,11/8/2015,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,40.80538528,-73.95358877,0.013528726651241583,36061022000.0,40.8056281407,-73.95075376883334,NEW YORK,MANHATTAN,5379.0,2697.0,2682.0,16.7,14.6,59.8,0.0,5.2,3583.0,47808.0,10415.0,36435.0,6590.0,22.5,30.3,44.4,15.2,30.3,4.6,5.5,9.8,1.6,76.5,7.4,1.1,3.6,37.6,2657.0,74.5,19.7,5.8,0.0,8.3,0.2512288729497023
MANHATTAN,40.811316,-73.940145,2,6,2,0,0,0,0,4.0,NEW YORK,12/22/2015,12/22/2015,12/22/2015,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,40.81152201,-73.94060118,0.044720637299346395,36061021200.0,40.81316582913335,-73.93914572866667,NEW YORK,MANHATTAN,4412.0,1945.0,2467.0,23.8,7.1,63.2,0.0,4.4,3295.0,52263.0,5507.0,33904.0,5647.0,9.2,3.7,64.9,14.5,19.6,0.0,1.1,11.0,1.1,65.1,14.6,1.0,7.3,31.4,1972.0,81.1,15.8,3.0,0.0,14.7,0.222288959864772
MANHATTAN,40.817195,-73.940298,2,7,1,0,0,0,0,3.0,NEW YORK,12/4/2015,,12/9/2015,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,40.81725838,-73.94040458,0.01141013931707381,36061023000.0,40.81844221106667,-73.9423115578,NEW YORK,MANHATTAN,9259.0,4572.0,4687.0,27.8,8.1,60.0,0.0,1.0,6473.0,35569.0,6368.0,25630.0,3970.0,27.7,18.8,27.8,25.7,26.4,4.1,16.1,6.1,4.0,70.6,11.0,2.4,6.0,38.5,4454.0,79.6,15.7,4.7,0.0,13.9,0.21903061021208292
MANHATTAN,40.817226,-73.94036700000002,1,5,13,0,0,1,10,1.0,NEW YORK,12/4/2015,,12/9/2015,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,40.81725838,-73.94040458,0.004793638677400459,36061023000.0,40.81844221106667,-73.9423115578,NEW YORK,MANHATTAN,9259.0,4572.0,4687.0,27.8,8.1,60.0,0.0,1.0,6473.0,35569.0,6368.0,25630.0,3970.0,27.7,18.8,27.8,25.7,26.4,4.1,16.1,6.1,4.0,70.6,11.0,2.4,6.0,38.5,4454.0,79.6,15.7,4.7,0.0,13.9,0.2123543192877819
MANHATTAN,40.817253,-73.940436,0,8,12,0,0,0,10,1.0,NEW YORK,12/4/2015,,12/9/2015,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,40.81725838,-73.94040458,0.0027117419047750987,36061023000.0,40.81844221106667,-73.9423115578,NEW YORK,MANHATTAN,9259.0,4572.0,4687.0,27.8,8.1,60.0,0.0,1.0,6473.0,35569.0,6368.0,25630.0,3970.0,27.7,18.8,27.8,25.7,26.4,4.1,16.1,6.1,4.0,70.6,11.0,2.4,6.0,38.5,4454.0,79.6,15.7,4.7,0.0,13.9,0.20596860472790068
MANHATTAN,40.82492,-73.954123,0,0,98,34,0,1,6,1.6541353383458646,NEW YORK,12/16/2015,12/16/2015,12/16/2015,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,40.82503491,-73.95401588,0.015641475727122125,36061022500.0,40.8240954774,-73.95497487434999,NEW YORK,MANHATTAN,10269.0,4852.0,5417.0,58.5,13.4,21.9,0.3,3.0,6087.0,48157.0,12687.0,22172.0,2678.0,27.2,37.9,31.3,29.7,25.8,7.7,5.4,5.8,4.4,73.9,7.7,2.1,6.2,38.4,5003.0,77.8,12.0,10.2,0.0,12.2,0.11641363792333927
BROOKLYN,40.59209,-73.936463,119,0,0,0,0,0,8,1.9915966386554624,KINGS,10/4/2015,10/5/2015,10/5/2015,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,40.59210875,-73.93643959,0.002873890246828443,36047062600.0,40.593065326633344,-73.9349246231,KINGS,BROOKLYN,2670.0,1182.0,1488.0,12.2,54.5,5.0,0.0,17.9,1783.0,45547.0,14530.0,24397.0,5657.0,25.2,51.0,41.0,17.0,24.7,11.0,6.3,38.7,13.4,36.8,10.2,0.9,0.0,38.2,990.0,73.1,24.3,2.5,0.0,15.1,0.16927028805919592
BROOKLYN,40.591314,-73.937238,118,0,0,0,0,1,8,1.9915966386554624,KINGS,12/18/2015,12/18/2015,12/21/2015,FELONY ASSAULT,COMPLETED,FELONY,BROOKLYN,40.59094262,-73.93718242,0.041574438664166595,36047059600.0,40.59155778893333,-73.93914572866666,KINGS,BROOKLYN,2451.0,1144.0,1307.0,2.4,86.1,8.1,0.0,3.3,2000.0,61422.0,14960.0,31752.0,3347.0,9.5,3.1,38.6,15.4,23.0,9.8,13.1,34.3,5.6,50.1,9.9,0.0,0.0,43.8,1111.0,79.5,18.4,2.2,0.0,7.8,0.16340095874488897
BROOKLYN,40.591193,-73.937217,119,0,0,0,0,0,8,1.9915966386554624,KINGS,12/18/2015,12/18/2015,12/21/2015,FELONY ASSAULT,COMPLETED,FELONY,BROOKLYN,40.59094262,-73.93718242,0.028002468998855796,36047059600.0,40.59155778893333,-73.93914572866666,KINGS,BROOKLYN,2451.0,1144.0,1307.0,2.4,86.1,8.1,0.0,3.3,2000.0,61422.0,14960.0,31752.0,3347.0,9.5,3.1,38.6,15.4,23.0,9.8,13.1,34.3,5.6,50.1,9.9,0.0,0.0,43.8,1111.0,79.5,18.4,2.2,0.0,7.8,0.16788612144077522
BRONX,40.854129,-73.908231,4,13,2,0,0,1,0,2.65,BRONX,10/26/2015,,10/26/2015,PETIT LARCENY,COMPLETED,MISDEMEANOR,BRONX,40.854299,-73.90807659,0.022941511448602965,36005024100.0,40.8531155779,-73.9064321608,BRONX,BRONX,6324.0,3194.0,3130.0,69.1,0.9,27.3,0.1,1.5,2801.0,23856.0,4225.0,11044.0,1583.0,38.6,54.0,16.1,43.2,16.8,8.5,15.4,14.8,5.4,63.1,10.0,2.0,4.8,41.4,2501.0,92.8,3.8,3.4,0.0,15.9,0.18870719557247442
BRONX,40.854231,-73.908144,2,17,1,0,0,0,0,2.65,BRONX,10/26/2015,,10/26/2015,PETIT LARCENY,COMPLETED,MISDEMEANOR,BRONX,40.854299,-73.90807659,0.009453688101173864,36005024100.0,40.8531155779,-73.9064321608,BRONX,BRONX,6324.0,3194.0,3130.0,69.1,0.9,27.3,0.1,1.5,2801.0,23856.0,4225.0,11044.0,1583.0,38.6,54.0,16.1,43.2,16.8,8.5,15.4,14.8,5.4,63.1,10.0,2.0,4.8,41.4,2501.0,92.8,3.8,3.4,0.0,15.9,0.19009199692497977
BRONX,40.850934,-73.907754,1,13,0,0,0,1,0,3.6,BRONX,9/29/2015,9/30/2015,9/30/2015,GRAND LARCENY OF MOTOR VEHICLE,COMPLETED,FELONY,BRONX,40.85086777,-73.90764757,0.011595407548612999,36005023301.0,40.8497236181,-73.90959798989999,BRONX,BRONX,4356.0,2012.0,2344.0,74.5,0.0,24.8,0.0,0.0,2094.0,26250.0,5052.0,12713.0,1830.0,36.6,54.8,14.0,42.9,17.8,10.8,14.5,10.1,12.0,62.8,5.8,5.3,4.0,38.7,1835.0,84.3,8.1,7.6,0.0,13.2,0.20541658410606128
BRONX,40.848602,-73.908376,0,17,8,0,0,0,0,1.48,BRONX,8/2/2015,8/2/2015,8/2/2015,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BRONX,40.84844483,-73.90844613,0.01845095759352336,36005023301.0,40.8497236181,-73.90959798989999,BRONX,BRONX,4356.0,2012.0,2344.0,74.5,0.0,24.8,0.0,0.0,2094.0,26250.0,5052.0,12713.0,1830.0,36.6,54.8,14.0,42.9,17.8,10.8,14.5,10.1,12.0,62.8,5.8,5.3,4.0,38.7,1835.0,84.3,8.1,7.6,0.0,13.2,0.16166478671085532
BRONX,40.849976,-73.90790799999998,0,8,4,0,0,1,5,1.8461538461538465,BRONX,12/20/2015,12/20/2015,12/20/2015,PETIT LARCENY,COMPLETED,MISDEMEANOR,BRONX,40.85027232,-73.90783275,0.03356221283750613,36005023301.0,40.8497236181,-73.90959798989999,BRONX,BRONX,4356.0,2012.0,2344.0,74.5,0.0,24.8,0.0,0.0,2094.0,26250.0,5052.0,12713.0,1830.0,36.6,54.8,14.0,42.9,17.8,10.8,14.5,10.1,12.0,62.8,5.8,5.3,4.0,38.7,1835.0,84.3,8.1,7.6,0.0,13.2,0.14493560432424477
